,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,hobart,75,AU,1572638086.0,87.0,-42.88,147.33,59.0,4.7
1,jamestown,100,AU,1572638584.0,88.0,-33.21,138.6,57.31,5.08
2,vostok,97,RU,1572638126.0,93.0,46.45,135.83,20.89,7.63
3,aguai,75,IT,1572638463.0,76.0,46.3,11.4,53.6,2.24
4,atuona,17,PF,1572638130.0,75.0,-9.8,-139.03,80.02,14.99
5,chihuahua,40,MX,1572638463.0,40.0,28.66,-106.08,80.01,2.66
6,ancud,90,CL,1572638463.0,93.0,-41.87,-73.83,50.0,4.7
7,ozernovskiy,100,RU,1572638463.0,91.0,51.5,156.52,42.82,12.35
8,nicoya,40,CR,1572638463.0,58.0,10.15,-85.45,87.8,17.22
9,chifeng,100,CN,1572638463.0,54.0,42.27,118.96,43.03,4.21
10,khani,90,GE,1572638464.0,100.0,41.96,42.96,51.8,3.36
11,kavaratti,69,IN,1572638464.0,76.0,10.57,72.64,80.85,6.08
12,bluff,24,AU,1572638585.0,80.0,-23.58,149.07,68.61,11.83
13,cape town,20,ZA,1572638392.0,82.0,-33.93,18.42,64.99,10.29
14,zhigansk,100,RU,1572638464.0,98.0,66.77,123.37,1.71,12.93
15,rikitea,3,PF,1572638585.0,63.0,-23.12,-134.97,71.26,6.33
16,sobolevo,93,RU,1572638158.0,93.0,54.43,31.9,33.21,5.75
17,ilongero,23,TZ,1572638464.0,55.0,-4.67,34.87,64.6,12.17
18,vaini,43,IN,1572637996.0,96.0,15.34,74.49,64.51,2.73
19,ushuaia,40,AR,1572638586.0,70.0,-54.81,-68.31,42.8,34.45
20,albany,75,US,1572638439.0,42.0,42.65,-73.75,50.0,18.34
21,tuktoyaktuk,75,CA,1572638321.0,92.0,69.44,-133.03,21.2,3.36
22,busselton,59,AU,1572638586.0,78.0,-33.64,115.35,48.0,19.44
23,hailar,6,CN,1572638465.0,65.0,49.2,119.7,24.12,9.31
24,vallenar,12,CL,1572638465.0,30.0,-28.58,-70.76,72.5,9.1
25,new norfolk,75,AU,1572638586.0,87.0,-42.78,147.06,59.0,4.7
26,bredasdorp,67,ZA,1572638069.0,72.0,-34.53,20.04,59.0,2.24
27,narsaq,75,GL,1572638465.0,86.0,60.91,-46.05,33.8,4.43
28,santa marta,40,CO,1572638216.0,74.0,11.24,-74.21,87.8,5.82
29,punta arenas,75,CL,1572638078.0,60.0,-53.16,-70.91,48.2,12.75
30,oranjemund,9,ZA,1572638466.0,55.0,-28.55,16.43,63.63,2.62
31,faanui,48,PF,1572638466.0,79.0,-16.48,-151.75,81.25,12.44
32,kannangad,20,IN,1572638466.0,94.0,12.31,75.11,73.4,2.24
33,bambous virieux,40,MU,1572638466.0,83.0,-20.34,57.76,71.6,3.36
34,koslan,100,RU,1572638466.0,87.0,63.46,48.9,19.8,7.0
35,saint-philippe,90,CA,1572638466.0,56.0,45.36,-73.48,44.01,25.28
36,port hedland,98,AU,1572638163.0,49.0,-20.31,118.58,68.0,11.41
37,tautira,40,PF,1572638466.0,70.0,-17.73,-149.15,84.2,3.36
38,mahebourg,40,MU,1572638401.0,83.0,-20.41,57.7,71.6,3.36
39,ikwiriri,0,TZ,1572638466.0,93.0,-7.96,38.99,72.27,1.72
41,virginia beach,1,US,1572638266.0,38.0,36.85,-75.98,60.01,14.0
42,norman wells,75,CA,1572638467.0,92.0,65.28,-126.83,17.6,5.82
44,saint george,75,GR,1572638467.0,77.0,39.45,22.34,60.8,13.87
45,marsa matruh,0,EG,1572638467.0,83.0,31.35,27.25,69.8,6.93
46,san patricio,0,PY,1572638588.0,43.0,-26.98,-56.83,92.86,3.94
47,arraial do cabo,40,BR,1572638467.0,83.0,-22.97,-42.02,80.6,12.75
48,beibei,40,CN,1572638467.0,93.0,29.83,106.43,60.8,4.47
49,kapaa,1,US,1572638106.0,74.0,22.08,-159.32,78.8,4.7
50,rockport,1,US,1572638468.0,52.0,28.02,-97.05,66.0,5.82
52,provideniya,100,RU,1572638065.0,95.0,64.42,-173.23,20.8,3.53
53,sikasso,58,ML,1572638468.0,63.0,11.32,-5.68,78.76,2.13
56,ilulissat,75,GL,1572638468.0,73.0,69.22,-51.1,24.8,1.12
